x,y,z,vx,vy,vz,mass
2.658133733087760e+01,-3.029447220510693e+00,-4.663189694239472e+01,-4.213432394992470e-01,4.122922592420460e-01,-3.555518400952863e-01,1.393388319943747e+00
2.547953954103195e+01,3.479633531124328e+01,-3.017354262091104e+01,-2.909586079782474e-01,5.872668996771709e-02,-1.678499413921544e-02,1.044876165243274e+00
7.139826401897515e+00,-6.287020853153070e+00,-4.799571588233697e+01,-3.558344253658450e-01,-2.959216110333698e-01,-3.910096518915354e-01,1.288656653039463e+00
1.013875225867540e+01,3.660199474499007e+01,1.601354049912359e+01,-7.172481789652682e-02,3.488998453795956e-01,-4.992682943698850e-01,1.107867781123085e+00
1.421147357983477e+01,1.938000496888438e+01,-3.659453470334857e+00,-8.698857280096306e-02,-3.372448966462450e-01,6.356581575849191e-04,1.491668187776426e+00
-4.216251143979644e+01,1.450084169906175e+01,3.808913970343684e+01,3.327523437348112e-01,-7.540096326464913e-03,-4.165110686124383e-01,1.041793735251666e+00
-4.475519742405315e+01,6.177186672422771e+00,-4.172238706525005e+01,1.261432020940475e-01,-4.932070556115720e-01,-3.893771612773651e-01,1.770308776651653e+00
-2.859989056040030e+01,-2.845653715260120e+01,-4.387936356024724e+01,3.129761041667355e-01,-4.178558643145228e-01,2.240935172536689e-01,1.241251285765903e+00
4.317842671022942e+01,2.240452000585675e+01,-1.477557513502071e+01,7.402860251600231e-02,-7.800227899778543e-02,3.125181760911892e-01,1.987040029832646e+00
8.635082629562154e+00,-1.822637897203143e+01,-2.265413561263117e+00,1.598001865747262e-01,4.582376517501469e-01,-1.362352756068602e-01,1.492552529784177e+00
-4.928360356197476e+00,-5.760676821811350e+00,3.555642716593594e+00,1.884148726291474e-03,-4.860424068612406e-01,1.210161664257278e-01,1.128027350235743e+00
-4.819332437617511e+01,2.361515270410590e+01,4.029091424528342e+01,-2.683781285659028e-01,4.512521922133038e-01,4.573015565098344e-01,1.044597974999155e+00
-4.619592694918573e+01,1.804572762340263e+01,-2.128010554879102e+01,4.644403090687685e-01,-9.377970390345687e-02,1.349683281542603e-01,1.538468911097603e+00
3.273477255749639e+01,-4.990709290149495e+00,2.055111203633231e+00,-8.702915842702350e-02,2.606403374669259e-01,-4.957828428038877e-01,1.072771027718098e+00
2.155737441732176e+01,-1.288657630810844e+01,6.132025619785762e+00,-3.304244563549820e-01,3.152355378743503e-01,-4.003301770197693e-01,1.671459692377345e+00
